TRIP_ID,UNIQUE_EVENT,DATE,YEAR,MONTH,DAY,EVENT_TYPE,EVENT_CODE,USABLE,VESSEL_NAME,STRATUM,BLOCK,STATION_NAME,TOW_LENGTH_MINUTE,TOW_LENGTH_HOUR,DAY_NIGHT,START_LATITUDE,START_LONGITUDE,END_LATITUDE,END_LONGITUDE,DISTANCE_TRAVELLED,DISTANCE_UNITS,DFO_STAT_AREA_CODE,DFO_STAT_SUBAREA_CODE,VESSEL_SPEED,SPEED_UNITS,DIRECTION,START_BOTTOM_DEPTH,END_BOTTOM_DEPTH,NET_DESC,CODEND_MESH_SIZE,MOUTH_HEIGHT_USE,MOUTH_HEIGHT_SOURCE,MOUTH_WIDTH_USE,MOUTH_WIDTH_SOURCE
201778,BCSI-201778-BR01,2017-10-06T00:00:00Z,2017,OCT,6,Midwater Trawl,6,Y,CFV SEACREST,NA,BR01,BR01,20,0.33,DAY,50.846,-126.944,50.857,-126.916,1.25,NM,12,41,3.7,KNOTS,58,180,102,CanTrawl 250,12.7,12,MOUTH,30,MOUTH
201778,BCSI-201778-BR02,2017-10-06T00:00:00Z,2017,OCT,6,Midwater Trawl,6,Y,CFV SEACREST,NA,BR02,BR02,22,0.37,DAY,50.895,-126.797,50.885,-126.754,1.74,NM,12,41,4.6,KNOTS,110,125,237,CanTrawl 250,12.7,12,MOUTH,30,MOUTH
201778,BCSI-201778-BR03,2017-10-06T00:00:00Z,2017,OCT,6,Midwater Trawl,6,Y,CFV SEACREST,NA,BR03,BR03,20,0.33,DAY,50.88,-126.743,50.866,-126.713,1.41,NM,12,41,4.2,KNOTS,126,200,250,CanTrawl 250,12.7,12,MOUTH,30,MOUTH
201778,BCSI-201778-BR04,2017-10-06T00:00:00Z,2017,OCT,6,Midwater Trawl,6,Y,CFV SEACREST,NA,BR04,BR04,21,0.35,DAY,50.882,-126.6,50.895,-126.567,1.47,NM,12,43,4.2,KNOTS,58,452,479,CanTrawl 250,12.7,12,MOUTH,30,MOUTH
201778,BCSI-201778-BR05,2017-10-06T00:00:00Z,2017,OCT,6,Midwater Trawl,6,Y,CFV SEACREST,NA,BR05,BR05,20,0.33,DAY,50.968,-126.503,50.991,-126.515,1.45,NM,12,47,4.4,KNOTS,342,462,376,CanTrawl 250,12.7,12,MOUTH,30,MOUTH
201778,BCSI-201778-BR06,2017-10-06T00:00:00Z,2017,OCT,6,Midwater Trawl,6,Y,CFV SEACREST,NA,BR06,BR06,20,0.33,DAY,50.928,-126.392,50.931,-126.429,1.41,NM,12,45,4.2,KNOTS,277,311,365,CanTrawl 250,12.7,12,MOUTH,30,MOUTH
201778,BCSI-201778-BR07,2017-10-06T00:00:00Z,2017,OCT,6,Midwater Trawl,6,Y,CFV SEACREST,NA,BR07,BR07,20,0.33,DAY,50.922,-126.519,50.908,-126.548,1.38,NM,12,43,4.1,KNOTS,233,480,480,CanTrawl 250,12.7,12,MOUTH,30,MOUTH
201778,BCSI-201778-BR08,2017-10-07T00:00:00Z,2017,OCT,7,Midwater Trawl,6,Y,CFV SEACREST,NA,BR08,BR08,20,0.33,DAY,50.806,-126.522,50.808,-126.483,1.48,NM,12,40,4.5,KNOTS,85,151,186,CanTrawl 250,12.7,12,MOUTH,30,MOUTH
201778,BCSI-201778-BR09,2017-10-07T00:00:00Z,2017,OCT,7,Midwater Trawl,6,Y,CFV SEACREST,NA,BR09,BR09,20,0.33,DAY,50.818,-126.419,50.824,-126.387,0,NM,12,35,3.8,KNOTS,73,233,227,CanTrawl 250,12.7,12,MOUTH,30,MOUTH
201778,BCSI-201778-BR10,2017-10-07T00:00:00Z,2017,OCT,7,Midwater Trawl,6,Y,CFV SEACREST,NA,BR10,BR10,20,0.33,DAY,50.84,-126.311,50.836,-126.274,1.42,NM,12,35,4.3,KNOTS,260,255,303,CanTrawl 250,12.7,12,MOUTH,30,MOUTH
201778,BCSI-201778-BR11,2017-10-07T00:00:00Z,2017,OCT,7,Midwater Trawl,6,Y,CFV SEACREST,NA,BR11,BR11,20,0.33,DAY,50.81,-126.217,50.788,-126.203,1.42,NM,12,35,4.3,KNOTS,158,160,179,CanTrawl 250,12.7,12,MOUTH,30,MOUTH
201778,BCSI-201778-BR12,2017-10-07T00:00:00Z,2017,OCT,7,Midwater Trawl,6,Y,CFV SEACREST,NA,BR12,BR12,20,0.33,DAY,50.659,-126.167,50.654,-126.201,1.33,NM,12,27,4,KNOTS,257,166,184,CanTrawl 250,12.7,12,MOUTH,30,MOUTH
