UNIQUE_EVENT,n_JUV,n_AD,n_TOTAL
HS200016-CA01,1,1,2
HS200016-CA02,0,0,0
HS200016-CA03,0,0,0
HS200016-CA04,0,0,0
HS200016-CA05,2,1,3
HS200016-CA06,0,0,0
HS200016-CA07,0,0,0
HS200016-CA08,0,0,0
HS200016-E01,6,6,12
HS200016-E02,13,5,18
HS200016-E03,23,1,24
HS200016-E04,10,0,10
HS200016-E05,1,0,1
HS200016-FI01,2,1,3
HS200016-FI02,0,0,0
HS200016-FI03,0,0,0
HS200016-FI04,0,0,0
HS200016-SS01,0,2,2
HS200016-SS02,0,3,3
HS200016-SS03,0,7,7
HS200016-SS04,0,1,1
HS200016-SS05,1,1,2
HS200016-SS06,1,0,1
HS200016-SS07,0,2,2
HS200016-SS08,0,68,68
HS200016-SS09,0,2,2
HS200016-T03,0,0,0
HS200016-T04,0,0,0
HS200016-T05,0,0,0
HS200016-T06,2,0,2
HS200016-T07,0,0,0
HS200016-T08,2,0,2
HS200016-T09,1,0,1
HS200016-T10,0,0,0
HS200016-X01,4,0,4
HS200016-X02,3,0,3
HS200016-X03,0,0,0
HS200016-X04,0,0,0
HS200016-X05,0,1,1
HS200016-X06,0,1,1
HS200016-X07,0,2,2
HS200016-X08,1,0,1
HS200016-X09,0,1,1
HS200034-B01,0,0,0
HS200034-B02,0,0,0
HS200034-B03,0,0,0
HS200034-B04,0,0,0
HS200034-B05,0,0,0
HS200034-B06,0,0,0
HS200034-B07,0,0,0
HS200034-EP01,4,0,4
HS200034-EP02,0,0,0
HS200034-EP03,0,0,0
HS200034-EP04,0,0,0
HS200034-EP05,0,0,0
HS200034-EP06,0,0,0
HS200034-EP08,0,0,0
HS200034-EP09,0,0,0
HS200034-EP10,0,0,0
HS200034-EP11,0,0,0
HS200034-EP12,0,0,0
HS200034-FI01,2,0,2
HS200034-FI02,0,0,0
HS200034-FI03,0,0,0
HS200034-FI04,0,0,0
HS200034-FI06,0,0,0
HS200034-FI08,0,0,0
HS200034-FI09,0,0,0
HS200034-FI10,0,0,0
HS200034-FI11,0,0,0
HS200034-FI12,0,0,0
HS200034-FI13,0,0,0
HS200034-FI14,0,0,0
HS200034-FI15,0,0,0
HS200034-H01,0,0,0
HS200034-H02,0,0,0
HS200034-H03,0,0,0
HS200034-H04,0,0,0
HS200034-H05,0,0,0
HS200034-H06,0,0,0
HS200034-K01,8,0,8
HS200034-K02,0,1,1
