UNIQUE_EVENT,n_JUV,n_AD,n_TOTAL,Species
HS200016-CA01,0,0,0,PINK
HS200016-CA02,0,0,0,PINK
HS200016-CA03,0,0,0,PINK
HS200016-CA04,0,0,0,PINK
HS200016-CA05,0,0,0,PINK
HS200016-CA06,0,0,0,PINK
HS200016-CA07,0,0,0,PINK
HS200016-CA08,0,0,0,PINK
HS200016-E01,0,1,1,PINK
HS200016-E02,0,4,4,PINK
HS200016-E03,0,0,0,PINK
HS200016-E04,0,0,0,PINK
HS200016-E05,0,1,1,PINK
HS200016-FI01,10,3,13,PINK
HS200016-FI02,0,2,2,PINK
HS200016-FI03,0,0,0,PINK
HS200016-FI04,0,0,0,PINK
HS200016-SS01,7,0,7,PINK
HS200016-SS02,3,0,3,PINK
HS200016-SS03,0,0,0,PINK
HS200016-SS04,0,0,0,PINK
HS200016-SS05,15,0,15,PINK
HS200016-SS06,0,0,0,PINK
HS200016-SS07,0,0,0,PINK
HS200016-SS08,0,0,0,PINK
HS200016-SS09,0,0,0,PINK
HS200016-T03,44,0,44,PINK
HS200016-T04,5,0,5,PINK
HS200016-T05,28,1,29,PINK
HS200016-T06,1,0,1,PINK
HS200016-T07,12,1,13,PINK
HS200016-T08,27,1,28,PINK
HS200016-T09,8,1,9,PINK
HS200016-T10,0,0,0,PINK
HS200016-X01,253,0,253,PINK
HS200016-X02,0,0,0,PINK
HS200016-X03,0,0,0,PINK
HS200016-X04,0,0,0,PINK
HS200016-X05,0,0,0,PINK
HS200016-X06,0,2,2,PINK
HS200016-X07,0,1,1,PINK
HS200016-X08,79,38,117,PINK
HS200016-X09,0,2,2,PINK
HS200034-B01,0,0,0,PINK
HS200034-B02,0,0,0,PINK
HS200034-B03,0,0,0,PINK
HS200034-B04,0,0,0,PINK
HS200034-B05,0,0,0,PINK
HS200034-B06,0,0,0,PINK
HS200034-B07,0,0,0,PINK
HS200034-EP01,12,0,12,PINK
HS200034-EP02,0,0,0,PINK
HS200034-EP03,0,0,0,PINK
HS200034-EP04,0,0,0,PINK
HS200034-EP05,0,0,0,PINK
HS200034-EP06,0,0,0,PINK
HS200034-EP08,0,0,0,PINK
HS200034-EP09,0,0,0,PINK
HS200034-EP10,0,0,0,PINK
HS200034-EP11,0,0,0,PINK
HS200034-EP12,0,0,0,PINK
HS200034-FI01,130,0,130,PINK
HS200034-FI02,27,0,27,PINK
