UNIQUE_EVENT,SCIENTIFIC_NAME,n_JUV,n_AD,n_TOTAL
BCSI-201778-BR01,ONCORHYNCHUS GORBUSCHA,15,0,15
BCSI-201778-BR01,ONCORHYNCHUS KETA,7,0,7
BCSI-201778-BR01,ONCORHYNCHUS KISUTCH,0,0,0
BCSI-201778-BR01,ONCORHYNCHUS MYKISS,0,0,0
BCSI-201778-BR01,ONCORHYNCHUS NERKA,1,0,1
BCSI-201778-BR01,ONCORHYNCHUS TSHAWYTSCHA,1,1,2
BCSI-201778-BR02,ONCORHYNCHUS GORBUSCHA,2,0,2
BCSI-201778-BR02,ONCORHYNCHUS KETA,30,0,30
BCSI-201778-BR02,ONCORHYNCHUS KISUTCH,0,0,0
BCSI-201778-BR02,ONCORHYNCHUS MYKISS,0,0,0
BCSI-201778-BR02,ONCORHYNCHUS NERKA,40,0,40
BCSI-201778-BR02,ONCORHYNCHUS TSHAWYTSCHA,13,0,13
BCSI-201778-BR03,ONCORHYNCHUS GORBUSCHA,0,0,0
BCSI-201778-BR03,ONCORHYNCHUS KETA,2,0,2
BCSI-201778-BR03,ONCORHYNCHUS KISUTCH,0,0,0
BCSI-201778-BR03,ONCORHYNCHUS MYKISS,0,0,0
BCSI-201778-BR03,ONCORHYNCHUS NERKA,0,0,0
BCSI-201778-BR03,ONCORHYNCHUS TSHAWYTSCHA,7,0,7
BCSI-201778-BR05,ONCORHYNCHUS GORBUSCHA,0,0,0
BCSI-201778-BR05,ONCORHYNCHUS KETA,0,0,0
BCSI-201778-BR05,ONCORHYNCHUS KISUTCH,0,0,0
BCSI-201778-BR05,ONCORHYNCHUS MYKISS,0,0,0
BCSI-201778-BR05,ONCORHYNCHUS NERKA,0,0,0
BCSI-201778-BR05,ONCORHYNCHUS TSHAWYTSCHA,1,0,1
BCSI-201778-BR06,ONCORHYNCHUS GORBUSCHA,0,0,0
BCSI-201778-BR06,ONCORHYNCHUS KETA,7,0,7
BCSI-201778-BR06,ONCORHYNCHUS KISUTCH,0,0,0
BCSI-201778-BR06,ONCORHYNCHUS MYKISS,0,0,0
BCSI-201778-BR06,ONCORHYNCHUS NERKA,0,0,0
BCSI-201778-BR06,ONCORHYNCHUS TSHAWYTSCHA,2,0,2
BCSI-201778-BR07,ONCORHYNCHUS GORBUSCHA,0,0,0
BCSI-201778-BR07,ONCORHYNCHUS KETA,19,0,19
BCSI-201778-BR07,ONCORHYNCHUS KISUTCH,0,0,0
BCSI-201778-BR07,ONCORHYNCHUS MYKISS,0,0,0
BCSI-201778-BR07,ONCORHYNCHUS NERKA,3,0,3
BCSI-201778-BR07,ONCORHYNCHUS TSHAWYTSCHA,0,0,0
BCSI-201778-BR08,ONCORHYNCHUS GORBUSCHA,0,0,0
BCSI-201778-BR08,ONCORHYNCHUS KETA,0,0,0
BCSI-201778-BR08,ONCORHYNCHUS KISUTCH,0,0,0
BCSI-201778-BR08,ONCORHYNCHUS MYKISS,0,0,0
BCSI-201778-BR08,ONCORHYNCHUS NERKA,3,0,3
BCSI-201778-BR08,ONCORHYNCHUS TSHAWYTSCHA,21,0,21
BCSI-201778-BR09,ONCORHYNCHUS GORBUSCHA,0,0,0
BCSI-201778-BR09,ONCORHYNCHUS KETA,0,0,0
BCSI-201778-BR09,ONCORHYNCHUS KISUTCH,0,0,0
BCSI-201778-BR09,ONCORHYNCHUS MYKISS,0,0,0
BCSI-201778-BR09,ONCORHYNCHUS NERKA,0,0,0
BCSI-201778-BR09,ONCORHYNCHUS TSHAWYTSCHA,1,1,2
BCSI-201778-BR10,ONCORHYNCHUS GORBUSCHA,0,0,0
BCSI-201778-BR10,ONCORHYNCHUS KETA,0,0,0
BCSI-201778-BR10,ONCORHYNCHUS KISUTCH,0,0,0
BCSI-201778-BR10,ONCORHYNCHUS MYKISS,0,0,0
BCSI-201778-BR10,ONCORHYNCHUS NERKA,0,0,0
