TRIP_ID,UNIQUE_EVENT,USABLE,TARGET_DEPTH,DFO_STAT_AREA_CODE,DFO_STAT_SUBAREA_CODE,STRATUM,BLOCK,VESSEL_NAME,DAY_NIGHT,START_LATITUDE,START_LONGITUDE,START_BOTTOM_DEPTH,END_BOTTOM_DEPTH,MAX_BOTTOM_DEPTH,MIN_BOTTOM_DEPTH,MODAL_BOTTOM_DEPTH,TOW_LENGTH_MINUTE,DISTANCE_TRAVELLED,DISTANCE_UNITS,DOORSPREAD,MOUTH_OPENING_HEIGHT,MOUTH_OPENING_WIDTH,Mean_Opening_Height,CALC_MOUTH_WIDTH_m,Mean_Headrope_Depth,MODAL_GEAR_DEPTH,NET_DESC,Avg_Height_ship,Avg_Height_rbr,Avg_Width_ship,Avg_Width_calc,Avg_Depth_ship,Avg_Depth_rbr,Avg_Door,MOUTH_HEIGHT_USE,MOUTH_HEIGHT_SOURCE,MOUTH_WIDTH_USE,MOUTH_WIDTH_SOURCE,Door_use,DISTANCE_KM,WIDTH_KM,HEIGHT_KM,MOUTH_KM2,VOLUME_KM3
201778,BCSI-201778-BR01,Y,0,12,41,NA,BR01,CFV SEACREST,DAY,50.846,-126.944,180,102,NA,NA,NA,20,1.25,NM,NA,12,30,NA,NA,NA,0,CanTrawl 250,12,NA,30,NA,0,NA,NA,12,SHIP,30,SHIP,NA,2.32,0.03,0.012,3.60E-04,8.35E-04
201778,BCSI-201778-BR02,Y,0,12,41,NA,BR02,CFV SEACREST,DAY,50.895,-126.797,125,237,NA,NA,NA,22,1.74,NM,NA,12,30,NA,NA,NA,0,CanTrawl 250,12,NA,30,NA,0,NA,NA,12,SHIP,30,SHIP,NA,3.22,0.03,0.012,3.60E-04,0.0011592
201778,BCSI-201778-BR03,Y,15,12,41,NA,BR03,CFV SEACREST,DAY,50.88,-126.743,200,250,NA,NA,NA,20,1.41,NM,NA,12,30,NA,NA,NA,15,CanTrawl 250,12,NA,30,NA,15,NA,NA,12,SHIP,30,SHIP,NA,2.61,0.03,0.012,3.60E-04,9.40E-04
201778,BCSI-201778-BR04,Y,30,12,43,NA,BR04,CFV SEACREST,DAY,50.882,-126.6,452,479,NA,NA,NA,21,1.47,NM,NA,12,30,NA,NA,NA,30,CanTrawl 250,12,NA,30,NA,30,NA,NA,12,SHIP,30,SHIP,NA,2.72,0.03,0.012,3.60E-04,9.79E-04
201778,BCSI-201778-BR05,Y,0,12,47,NA,BR05,CFV SEACREST,DAY,50.968,-126.503,462,376,NA,NA,NA,20,1.45,NM,NA,12,30,NA,NA,NA,0,CanTrawl 250,12,NA,30,NA,0,NA,NA,12,SHIP,30,SHIP,NA,2.69,0.03,0.012,3.60E-04,9.68E-04
201778,BCSI-201778-BR06,Y,0,12,45,NA,BR06,CFV SEACREST,DAY,50.928,-126.392,311,365,NA,NA,NA,20,1.41,NM,NA,12,30,NA,NA,NA,0,CanTrawl 250,12,NA,30,NA,0,NA,NA,12,SHIP,30,SHIP,NA,2.61,0.03,0.012,3.60E-04,9.40E-04
201778,BCSI-201778-BR07,Y,0,12,43,NA,BR07,CFV SEACREST,DAY,50.922,-126.519,480,480,NA,NA,NA,20,1.38,NM,NA,12,30,NA,NA,NA,0,CanTrawl 250,12,NA,30,NA,0,NA,NA,12,SHIP,30,SHIP,NA,2.56,0.03,0.012,3.60E-04,9.22E-04
201778,BCSI-201778-BR08,Y,0,12,40,NA,BR08,CFV SEACREST,DAY,50.806,-126.522,151,186,NA,NA,NA,20,1.48,NM,NA,12,30,NA,NA,NA,0,CanTrawl 250,12,NA,30,NA,0,NA,NA,12,SHIP,30,SHIP,NA,2.74,0.03,0.012,3.60E-04,9.86E-04
201778,BCSI-201778-BR09,Y,0,12,35,NA,BR09,CFV SEACREST,DAY,50.818,-126.419,233,227,NA,NA,NA,20,0,NM,NA,12,30,NA,NA,NA,0,CanTrawl 250,12,NA,30,NA,0,NA,NA,12,SHIP,30,SHIP,NA,0,0.03,0.012,3.60E-04,0
201778,BCSI-201778-BR10,Y,0,12,35,NA,BR10,CFV SEACREST,DAY,50.84,-126.311,255,303,NA,NA,NA,20,1.42,NM,NA,12,30,NA,NA,NA,0,CanTrawl 250,12,NA,30,NA,0,NA,NA,12,SHIP,30,SHIP,NA,2.63,0.03,0.012,3.60E-04,9.47E-04
