UNIQUE_EVENT,TARGET_DEPTH
BCSI-201731-HW20,20
BCSI-201731-HW21,0
BCSI-201731-HW22,30
BCSI-201731-HW23,10
BCSI-201731-HW24,20
BCSI-201731-HW29,0
BCSI-201731-HW30,30
BCSI-201731-HW31,10
BCSI-201731-HW32,20
BCSI-201731-HW33,0
BCSI-201731-HW35,10
BCSI-201732-HW01,0
BCSI-201732-HW02,30
BCSI-201732-HW03,10
BCSI-201732-HW04,20
BCSI-201732-HW05,0
BCSI-201732-HW06,30
BCSI-201732-HW07,10
BCSI-201732-HW08,20
BCSI-201732-HW09,0
BCSI-201732-HW10,30
BCSI-201732-HW11,10
BCSI-201732-HW12,20
BCSI-201732-HW13,0
BCSI-201732-HW14,30
BCSI-201732-HW15,10
BCSI-201732-HW16,20
BCSI-201732-HW17,0
BCSI-201732-HW18,30
BCSI-201732-HW19,10
BCSI-201732-HW20,20
BCSI-201732-HW21,0
BCSI-201732-HW22,30
BCSI-201732-HW23,10
BCSI-201732-HW24,20
BCSI-201732-HW25,0
BCSI-201732-HW26,30
BCSI-201732-HW27,10
BCSI-201732-HW29,0
BCSI-201732-HW30,30
BCSI-201732-HW31,10
BCSI-201732-HW32,20
BCSI-201732-HW33,0
BCSI-201732-HW34,30
BCSI-201732-HW35,10
BCSI-201733-HW01,0
BCSI-201733-HW02,30
BCSI-201733-HW03,10
BCSI-201733-HW04,20
BCSI-201733-HW05,0
BCSI-201733-HW06,30
BCSI-201733-HW07,10
BCSI-201733-HW08,20
BCSI-201733-HW09,0
BCSI-201733-HW10,30
BCSI-201733-HW11,10
BCSI-201733-HW12,20
BCSI-201733-HW13,0
BCSI-201733-HW14,30
BCSI-201733-HW15,10
BCSI-201733-HW16,20
BCSI-201733-HW17,0
BCSI-201733-HW18,30
BCSI-201733-HW19,10
BCSI-201733-HW20,20
BCSI-201733-HW21,0
BCSI-201733-HW22,30
BCSI-201733-HW23,10
BCSI-201733-HW24,20
BCSI-201733-HW25,0
BCSI-201733-HW26,30
BCSI-201733-HW27,10
BCSI-201733-HW28,20
BCSI-201733-HW29,0
BCSI-201733-HW30,30
BCSI2021-034-015,0
BCSI2021-034-016,0
BCSI2021-034-017,0
BCSI2021-034-020,0
BCSI2021-034-023,15
BCSI2021-034-024,0
BCSI2021-034-027,0
BCSI2021-034-030,15
BCSI2021-034-031,0
BCSI2021-034-034,0
BCSI2021-034-037,0
BCSI2021-034-040,15
BCSI2021-034-043,15
BCSI2021-034-046,0
BCSI2021-034-047,0
BCSI2021-034-048,0
BCSI2021-034-051,15
BCSI2021-034-054,15
BCSI2021-034-055,0
BCSI2021-034-056,0
BCSI2021-034-059,15
BCSI2021-034-062,15
BCSI2021-034-063,0
BCSI2021-034-064,0
IPES2021-033-001,11
IPES2021-033-004,5
IPES2021-033-005,7
IPES2021-033-006,4
IPES2021-033-007,11
IPES2021-033-010,9
BCSI2021-034-003,0
BCSI2021-034-004,15
BCSI2021-034-007,15
BCSI2021-034-008,0
BCSI2021-034-011,0
BCSI2021-034-012,15
BCSI2021-034-067,0
BCSI2021-034-068,15
BCSI2021-034-070,0
BCSI2021-034-071,0
BCSI2021-034-076,0
BCSI2021-034-077,0
BCSI2021-034-080,15
BCSI2021-034-083,0
BCSI2021-034-084,0
BCSI2021-034-087,0
BCSI2021-034-088,15
BCSI2021-034-091,15
BCSI2021-034-094,0
BCSI2021-034-095,0
BCSI2021-034-098,0
BCSI2021-034-099,15
BCSI2021-034-100,15
BCSI2021-034-101,15
BCSI2021-034-104,15
BCSI2021-034-107,0
BCSI2021-034-108,0
BCSI2021-034-111,15
BCSI2021-034-112,0
BCSI2021-034-115,15
HS1096-076,11
HS1096-077,0
HS1096-084,7
HS1096-085,7
HS1096-086,12
HS1096-087,11
HS1096-088,12
HS1096-089,11
HS200016-CA01,0
HS200016-CA02,30
HS200016-CA03,0
HS200016-CA04,45
HS200016-CA05,15
HS200016-CA06,15
HS200016-CA07,30
HS200016-CA08,100
HS200016-E01,0
HS200016-E02,0
HS200016-E03,0
HS200016-E04,0
HS200016-E05,0
HS200016-FI01,0
HS200016-FI02,0
HS200016-FI03,15
HS200016-FI04,0
HS200016-SS01,0
HS200016-SS02,0
HS200016-SS03,15
HS200016-SS04,30
HS200016-SS05,0
HS200016-SS06,15
HS200016-SS07,45
HS200016-SS08,0
HS200016-SS09,0
HS200016-T03,0
HS200016-T04,0
HS200016-T05,0
HS200016-T06,0
HS200016-T07,0
HS200016-T08,0
HS200016-T09,0
HS200016-T10,0
HS200016-X01,0
HS200016-X02,15
HS200016-X03,30
HS200016-X04,0
HS200016-X05,0
HS200016-X06,15
HS200016-X07,0
HS200016-X08,0
HS200016-X09,0
HS200034-B01,15
HS200034-B02,15
HS200034-B03,15
HS200034-B04,15
HS200034-B05,15
HS200034-B06,15
HS200034-B07,15
HS200034-EP01,0
HS200034-EP02,0
HS200034-EP03,0
HS200034-EP04,0
HS200034-EP05,0
HS200034-EP06,0
HS200034-EP08,0
HS200034-EP09,0
HS200034-EP10,0
HS200034-EP11,0
HS200034-EP12,0
HS200034-FI01,15
HS200034-FI02,15
HS200034-FI03,15
HS200034-FI04,15
HS200034-FI06,15
HS200034-FI08,15
HS200034-FI09,15
HS200034-FI10,25
HS200034-FI11,25
HS200034-FI12,25
HS200034-FI13,25
HS200034-FI14,25
HS200034-FI15,25
HS200034-H01,0
HS200034-H02,0
HS200034-H03,0
HS200034-H04,0
HS200034-H05,15
HS200034-H06,0
HS200034-K01,0
HS200034-K02,0
BCSI-201893-QCSD01,12
BCSI-201893-QCSD02,16
BCSI-201893-QCSD03,33
BCSI-201893-QCSD04,18
BCSI-201893-QCSD05,0
BCSI-201893-QCSD06,0
BCSI-201893-QCSD07,0
BCSI-201893-QCSD08,25
BCSI-201893-QCSD09,18
BCSI-201893-QCSD10,0
BCSI-201893-QCSD11,0
BCSI-201893-QCSD12,16
BCSI-201893-QCST01,0
BCSI-201893-QCST02,16
BCSI-201893-QCST03,38
BCSI-201893-QCST04,0
BCSI-201893-QCST05,0
BCSI-201893-QCST06,15
BCSI-201893-QCST07,0
BCSI-201893-QCST08,0
BCSI-201728-HW01,0
BCSI-201728-HW02,30
BCSI-201728-HW05,0
BCSI-201728-HW06,30
BCSI-201728-HW07,10
BCSI-201728-HW08,20
BCSI-201728-HW09,0
BCSI-201728-HW10,30
BCSI-201728-HW11,10
BCSI-201728-HW12,20
BCSI-201728-HW13,0
BCSI-201728-HW15,10
BCSI-201728-HW16,20
BCSI-201728-HW17,0
BCSI-201728-HW19,10
BCSI-201728-HW21,0
BCSI-201728-HW23,10
BCSI-201728-HW25,0
BCSI-201728-HW29,0
BCSI-201728-HW30,30
BCSI-201728-HW31,10
BCSI-201728-HW32,20
BCSI-201731-HW01,0
BCSI-201731-HW02,30
BCSI-201731-HW03,10
BCSI-201731-HW04,20
BCSI-201731-HW05,0
BCSI-201731-HW06,30
BCSI-201731-HW07,10
BCSI-201731-HW08,20
BCSI-201731-HW09,0
BCSI-201731-HW10,30
BCSI-201731-HW11,10
BCSI-201731-HW12,20
BCSI-201731-HW13,0
BCSI-201731-HW15,10
BCSI-201731-HW16,20
BCSI-201731-HW17,0
BCSI-201731-HW18,30
BCSI-201731-HW19,10
BCSI-201733-HW31,10
BCSI-201733-HW32,20
BCSI-201733-HW33,0
BCSI-201733-HW34,30
BCSI-201733-HW35,10
BCSI-201733-HW37,0
BCSI-201733-HW38,30
BCSI-201733-HW39,10
BCSI-201733-HW40,20
BCSI-201733-HW41,0
BCSI-201733-HW42,30
BCSI-201733-HW43,10
BCSI-201733-HW44,20
BCSI-201734-HW01,0
BCSI-201734-HW02,30
BCSI-201734-HW03,10
BCSI-201734-HW04,20
BCSI-201734-HW05,0
BCSI-201734-HW06,30
BCSI-201734-HW07,10
BCSI-201734-HW08,20
BCSI-201734-HW09,0
BCSI-201734-HW10,30
BCSI-201734-HW11,10
BCSI-201734-HW12,20
BCSI-201734-HW13,0
BCSI-201734-HW14,30
BCSI-201734-HW15,10
BCSI-201734-HW16,20
BCSI-201734-HW17,0
HS201454-RB11,0
HS201454-RB12,0
HS201454-RB13,0
HS201454-RB14,0
HS201454-RB15,0
HS201454-RB16,0
HS201454-RB17,0
