STATION_ID,EXCLUDE,COMMENTS
BCSI-201893-JS03,,Head depth 16-22
BCSI-201893-JS05,Y,ABORTED -- LOGS -- DROPPED NET TO 30 M TO AVOID
BCSI-201893-JS06,,corrected event number from 54 to 55
BCSI-201893-QCSD01,,Head depth 0-25
BCSI-201893-QCSD04,,Head depth 15-20
BCSI-201893-QCSD07,,"lat, long corrected"
BCSI-201893-QCSD09,,head depth 16-20
BCSI-201893-QCSD12,,head depth corrected; head depth 14-18
BCSI-201893-QCST02,,head depth 14-18
BCSI-201893-QCST03,,head depth 28-46
BCSI-201893-QCST04,Y,NET TORN ON BOTTOM WHILE HAULING BACK
BCSI-201893-QCST06,,head depth corrected
BCSI-201893-QCST07,,head depth corrected
BCSI-201893-QCST09,,head depth corrected; head depth 13-17
BCSI-201893-QCST11,,PROBLEMS WITH TIDE; head depth 0-10
HS200016-SS08,Y,"MASSIVE CATCH, APPROX 30 M x 10m X10m , 2/3 of catch released over stern after cutting net, catch dominated by dogfish, salmon were badly mauled and soft"
HS200109-X67,Y,CUT SHORT DUE TO HIGH STANDING WAVES
HS200118-086,,"juvenile pink, chum, and sockeye estimated by wt"
HS200136-B07,,"15 MIN TOWS,TO SPEED UP OFFSHORE SAMPLING"
HS200136-B08,,15 MIN TOWS TO SPEED UP OFFSHORE SAMPLING
HS200136-B09,,15 MIN TOWS TO SPEED UP OFFSHORE SAMPLING
HS200136-B10,,15 MIN TOWS TO SPEED UP OFFSHORE SAMPLING
HS200136-B11,,15 MIN TOWS TO SPEED UP OFFSHORE SAMPLING
HS200136-ISEA13,,ONE HOUR TOW: END OF DAY
HS200136-LP03,,"SHORT TOW, END OF DAY"
HS200136-QCST05,Y,ABORTED TOW:  DOLPHINS
HS200136-SEA03,,"SEAS BUILDING, END OF WORKING SHIFT"
HS200136-VI08,,SHORT TOW
HS200136-VI09,,SHORT TOW
HS200136-VI12,,SHORT TOW ALONG ARMS OF KYUQUOT INLET
HS200136-VI13,,SHORT TOW ALONG ARMS OF KYUQUOT INLET
HS200136-VI14,,SHORT TOW ALONG ARMS OF KYUQUOT INLET
HS200136-VI15,,SHORT TOW ALONG ARMS OF KYUQUOT INLET
HS200136-VI16,,SHORT TOW ALONG ARMS OF KYUQUOT INLET
HS200136-VI17,,SHORT TOW ALONG ARMS OF KYUQUOT INLET
HS200136-VI20,,TOW CUT SHORT TO ROUND BROOKS P BEFORE STORM
HS200205-ISEA17,Y,"aborted tow, grab pots everywhere"
HS200205-IVI08,Y,"tow aborted, dolphins"
HS200215-D05,,Ocean Selector's net used
HS200215-D06,,Ocean Selector's net used
HS200215-D07,,Ocean Selector's net used
HS200215-D08,,Ocean Selector's net used
HS200215-D09,,Ocean Selector's net used
HS200215-D10,,Ocean Selector's net used
HS200215-D11,,Ocean Selector's net used
HS200215-D12,,Ocean Selector's net used
HS200215-D13,,Ocean Selector's net used
HS200215-DE01,,Ocean Selector's net used
HS200215-DE02,,Ocean Selector's net used
HS200215-DE03,,Ocean Selector's net used
HS200215-DE04,,Ocean Selector's net used
HS200215-DE05,,Ocean Selector's net used
HS200215-DE06,,Ocean Selector's net used
HS200215-DE07,,Ocean Selector's net used
HS200215-EP01,,Ocean Selector's net used
HS200215-EP02,,Ocean Selector's net used
HS200215-EP03,,Ocean Selector's net used
HS200215-EP04,,Ocean Selector's net used
HS200215-EP05,,Ocean Selector's net used
HS200215-EP06,,Ocean Selector's net used
HS200215-EP07,,Ocean Selector's net used
HS200215-EP08,,Ocean Selector's net used
HS200215-EP09,,Ocean Selector's net used
HS200215-EP10,,Ocean Selector's net used
HS200215-EP11,,Ocean Selector's net used
HS200215-H01,,Ocean Selector's net used
HS200215-H02,,Ocean Selector's net used
HS200215-H03,,Ocean Selector's net used
HS200215-H04,,Ocean Selector's net used
HS200215-H05,,Ocean Selector's net used
HS200215-H06,,Ocean Selector's net used
HS200215-H07,,Ocean Selector's net used
HS200215-HS01,,Ocean Selector's net used
HS200215-HS02,,Ocean Selector's net used
HS200215-IBC01,,Ocean Selector's net used
HS200215-IBC02,,Ocean Selector's net used
HS200215-IBC03,,Ocean Selector's net used
