UNIQUE_EVENT,n_JUV,n_AD,n_TOTAL,Species
HS200016-CA01,0,0,0,SOCKEYE
HS200016-CA02,0,0,0,SOCKEYE
HS200016-CA03,0,0,0,SOCKEYE
HS200016-CA04,0,0,0,SOCKEYE
HS200016-CA05,0,0,0,SOCKEYE
HS200016-CA06,0,0,0,SOCKEYE
HS200016-CA07,0,0,0,SOCKEYE
HS200016-CA08,0,0,0,SOCKEYE
HS200016-E01,7,8,15,SOCKEYE
HS200016-E02,2,0,2,SOCKEYE
HS200016-E03,45,0,45,SOCKEYE
HS200016-E04,34,0,34,SOCKEYE
HS200016-E05,9,2,11,SOCKEYE
HS200016-FI01,25,2,27,SOCKEYE
HS200016-FI02,5,0,5,SOCKEYE
HS200016-FI03,0,0,0,SOCKEYE
HS200016-FI04,19,0,19,SOCKEYE
HS200016-SS01,3,3,6,SOCKEYE
HS200016-SS02,2,1,3,SOCKEYE
HS200016-SS03,0,0,0,SOCKEYE
HS200016-SS04,0,0,0,SOCKEYE
HS200016-SS05,29,0,29,SOCKEYE
HS200016-SS06,0,0,0,SOCKEYE
HS200016-SS07,0,0,0,SOCKEYE
HS200016-SS08,0,0,0,SOCKEYE
HS200016-SS09,0,0,0,SOCKEYE
HS200016-T03,96,0,96,SOCKEYE
HS200016-T04,4,0,4,SOCKEYE
HS200016-T05,26,0,26,SOCKEYE
HS200016-T06,4,0,4,SOCKEYE
HS200016-T07,23,0,23,SOCKEYE
HS200016-T08,26,0,26,SOCKEYE
HS200016-T09,0,0,0,SOCKEYE
HS200016-T10,0,0,0,SOCKEYE
HS200016-X01,229,0,229,SOCKEYE
HS200016-X02,0,0,0,SOCKEYE
HS200016-X03,0,0,0,SOCKEYE
HS200016-X04,0,1,1,SOCKEYE
HS200016-X05,0,0,0,SOCKEYE
HS200016-X06,0,4,4,SOCKEYE
HS200016-X07,0,2,2,SOCKEYE
HS200016-X08,26,2,28,SOCKEYE
HS200016-X09,1,0,1,SOCKEYE
HS200034-B01,0,0,0,SOCKEYE
HS200034-B02,0,0,0,SOCKEYE
HS200034-B03,0,0,0,SOCKEYE
HS200034-B04,0,0,0,SOCKEYE
HS200034-B05,0,0,0,SOCKEYE
HS200034-B06,0,0,0,SOCKEYE
HS200034-B07,0,0,0,SOCKEYE
HS200034-EP01,0,0,0,SOCKEYE
HS200034-EP02,0,0,0,SOCKEYE
HS200034-EP03,0,0,0,SOCKEYE
HS200034-EP04,0,0,0,SOCKEYE
HS200034-EP05,0,0,0,SOCKEYE
HS200034-EP06,0,0,0,SOCKEYE
HS200034-EP08,0,0,0,SOCKEYE
HS200034-EP09,0,0,0,SOCKEYE
HS200034-EP10,0,0,0,SOCKEYE
HS200034-EP11,0,0,0,SOCKEYE
HS200034-EP12,0,0,0,SOCKEYE
HS200034-FI01,12,0,12,SOCKEYE
HS200034-FI02,0,0,0,SOCKEYE
HS200034-FI03,0,0,0,SOCKEYE
HS200034-FI04,1,0,1,SOCKEYE
HS200034-FI06,0,0,0,SOCKEYE
HS200034-FI08,0,0,0,SOCKEYE
HS200034-FI09,0,0,0,SOCKEYE
HS200034-FI10,0,0,0,SOCKEYE
HS200034-FI11,0,0,0,SOCKEYE
HS200034-FI12,0,0,0,SOCKEYE
HS200034-FI13,0,0,0,SOCKEYE
HS200034-FI14,0,0,0,SOCKEYE
HS200034-FI15,0,0,0,SOCKEYE
HS200034-H01,67,0,67,SOCKEYE
HS200034-H02,29,0,29,SOCKEYE
HS200034-H03,43,0,43,SOCKEYE
HS200034-H04,24,0,24,SOCKEYE
HS200034-H05,0,0,0,SOCKEYE
HS200034-H06,5,0,5,SOCKEYE
HS200034-K01,0,0,0,SOCKEYE
HS200034-K02,0,0,0,SOCKEYE
HS200034-K03,0,0,0,SOCKEYE
HS200034-K04,0,0,0,SOCKEYE
HS200034-K05,0,0,0,SOCKEYE
HS200034-K06,0,0,0,SOCKEYE
HS200034-LP01,0,0,0,SOCKEYE
HS200034-LP02,0,0,0,SOCKEYE
HS200034-LP03,0,0,0,SOCKEYE
HS200034-NI01,5,0,5,SOCKEYE
HS200034-NI02,29,0,29,SOCKEYE
HS200034-NI03,3,0,3,SOCKEYE
HS200034-NI04,0,0,0,SOCKEYE
HS200034-NI05,0,0,0,SOCKEYE
HS200034-NI06,0,0,0,SOCKEYE
HS200034-NI07,0,0,0,SOCKEYE
HS200034-NI08,0,0,0,SOCKEYE
HS200034-NI09,0,0,0,SOCKEYE
HS200034-NI10,0,0,0,SOCKEYE
HS200034-NI11,0,0,0,SOCKEYE
HS200034-RI01,4,0,4,SOCKEYE
HS200034-T01,10,0,10,SOCKEYE
HS200034-T02,4,0,4,SOCKEYE
HS200034-T03,0,0,0,SOCKEYE
HS200034-T04,0,0,0,SOCKEYE
HS200034-T05,3,0,3,SOCKEYE
HS200034-T06,1,0,1,SOCKEYE
HS200034-T07,0,0,0,SOCKEYE
HS200034-T08,0,0,0,SOCKEYE
HS200034-T09,0,0,0,SOCKEYE
HS200034-T11,0,0,0,SOCKEYE
HS200034-T12,0,0,0,SOCKEYE
HS200034-T13,0,0,0,SOCKEYE
HS200034-T14,0,0,0,SOCKEYE
HS200034-T15,0,0,0,SOCKEYE
HS200034-X01,0,0,0,SOCKEYE
HS200034-X02,1,0,1,SOCKEYE
HS200034-X03,0,0,0,SOCKEYE
HS200034-X04,0,0,0,SOCKEYE
HS200034-X05,0,0,0,SOCKEYE
HS200034-X06,0,0,0,SOCKEYE
HS200034-X07,0,0,0,SOCKEYE
HS200034-X08,0,0,0,SOCKEYE
HS200034-X09,0,0,0,SOCKEYE
HS200034-X10,0,0,0,SOCKEYE
HS200034-X11,0,0,0,SOCKEYE
HS200034-X12,0,0,0,SOCKEYE
HS200034-X13,0,0,0,SOCKEYE
HS200034-X14,4,0,4,SOCKEYE
HS200034-X15,0,0,0,SOCKEYE
HS200034-X16,0,0,0,SOCKEYE
HS200034-X17,0,0,0,SOCKEYE
HS200034-X18,0,0,0,SOCKEYE
HS200034-X19,0,0,0,SOCKEYE
HS200034-X20,0,0,0,SOCKEYE
HS200034-X21,0,0,0,SOCKEYE
HS200034-X22,0,0,0,SOCKEYE
HS200034-X23,0,0,0,SOCKEYE
HS200034-X24,0,0,0,SOCKEYE
HS200034-X25,2,0,2,SOCKEYE
HS200034-X26,0,0,0,SOCKEYE
HS200034-X27,0,0,0,SOCKEYE
HS200034-X28,0,0,0,SOCKEYE
HS200034-X29,0,0,0,SOCKEYE
HS200034-X30,0,0,0,SOCKEYE
