SYNOPTIC_STATION,STATION_ID
TRUE,BCSI-201778-QCSD03
TRUE,BCSI-201778-QCSD04
TRUE,BCSI-201778-QCSD06
TRUE,BCSI-201778-QCSD07
TRUE,BCSI-201778-QCSD08
TRUE,BCSI-201778-QCSD09
TRUE,BCSI-201778-QCSD10
TRUE,BCSI-201778-QCSD11
TRUE,BCSI-201778-QCSD12
TRUE,BCSI-201778-QCSD18
TRUE,BCSI-201778-QCSD19
TRUE,BCSI-201778-QCSD20
TRUE,BCSI-201893-QCSD01
TRUE,BCSI-201893-QCSD02
TRUE,BCSI-201893-QCSD03
TRUE,BCSI-201893-QCSD04
TRUE,BCSI-201893-QCSD05
TRUE,BCSI-201893-QCSD07
TRUE,BCSI-201893-QCSD08
TRUE,BCSI-201893-QCSD11
TRUE,BCSI-201893-QCSD12
TRUE,BCSI-201893-QCST07
TRUE,BCSI-2019125-QCSD01
TRUE,BCSI-2019125-QCSD02
TRUE,BCSI-2019125-QCSD04
TRUE,BCSI-2019125-QCSD05
TRUE,BCSI-2019125-QCSD06
TRUE,BCSI-2019125-T03
TRUE,BCSI-2019125-T05
TRUE,BCSI-2019125-T06
TRUE,BCSI-2020017-CS08
TRUE,HS1096-001
TRUE,HS1096-002
TRUE,HS1096-003
TRUE,HS1096-004
TRUE,HS1096-005
TRUE,HS1096-007
TRUE,HS1096-008
TRUE,HS1096-009
TRUE,HS200016-E02
TRUE,HS200016-E03
TRUE,HS200016-E04
TRUE,HS200016-SS01
TRUE,HS200016-SS02
TRUE,HS200016-SS03
TRUE,HS200016-SS04
TRUE,HS200016-SS05
TRUE,HS200016-SS06
TRUE,HS200016-SS07
TRUE,HS200016-SS08
TRUE,HS200016-SS09
TRUE,HS200016-T03
TRUE,HS200016-T04
TRUE,HS200016-T05
TRUE,HS200016-T06
TRUE,HS200016-T07
TRUE,HS200016-T08
TRUE,HS200034-EP02
TRUE,HS200034-EP03
TRUE,HS200034-K01
TRUE,HS200034-K02
TRUE,HS200034-K03
TRUE,HS200034-K04
TRUE,HS200034-LP01
TRUE,HS200034-LP02
TRUE,HS200034-LP03
TRUE,HS200034-T02
TRUE,HS200034-T03
TRUE,HS200034-T04
TRUE,HS200034-T05
TRUE,HS200034-T06
TRUE,HS200034-T07
TRUE,HS200109-X07
TRUE,HS200109-X08
TRUE,HS200109-X09
TRUE,HS200109-X10
TRUE,HS200109-X11
TRUE,HS200109-X12
TRUE,HS200109-X17
TRUE,HS200109-X18
TRUE,HS200109-X23
TRUE,HS200109-X24
TRUE,HS200109-X25
TRUE,HS200109-X92
TRUE,HS200109-X93
TRUE,HS200109-X94
TRUE,HS200109-X95
TRUE,HS200114-EP01
TRUE,HS200114-EP02
TRUE,HS200114-EP03
TRUE,HS200114-EP04
TRUE,HS200114-EP05
TRUE,HS200114-T02
TRUE,HS200114-T03
TRUE,HS200114-T04
TRUE,HS200114-T05
TRUE,HS200114-T06
TRUE,HS200114-T07
TRUE,HS200114-VI04
TRUE,HS200114-VI05
TRUE,HS200114-VI06
TRUE,HS200118-017
TRUE,HS200118-018
TRUE,HS200118-019
TRUE,HS200118-020
TRUE,HS200118-032
TRUE,HS200118-033
TRUE,HS200118-034
TRUE,HS200118-035
TRUE,HS200118-036
TRUE,HS200118-037
TRUE,HS200118-038
TRUE,HS200118-039
TRUE,HS200118-040
TRUE,HS200118-041
TRUE,HS200118-042
TRUE,HS200118-043
TRUE,HS200118-044
TRUE,HS200118-045
TRUE,HS200118-046
TRUE,HS200118-047
TRUE,HS200118-048
TRUE,HS200118-049
TRUE,HS200118-050
TRUE,HS200118-051
TRUE,HS200118-052
TRUE,HS200118-053
TRUE,HS200118-054
TRUE,HS200118-057
TRUE,HS200118-058
TRUE,HS200118-059
TRUE,HS200118-060
TRUE,HS200118-064
TRUE,HS200118-065
TRUE,HS200118-066
TRUE,HS200118-067
TRUE,HS200118-069
TRUE,HS200118-070
TRUE,HS200118-071
