"Stock.Code","Stock","Region2Name","Region1Name","Region3Name","Region1Code","Region2Code","Region3Code","FraserGroupCode"
1,"Robertson","West Coast Hatchery","WCVI","WCVI",8,4,2,NA
2,"Big_Qualicum","Lower Strait of Georgia/Lower GS Hatchery","ECVI","SOG",7,2,3,NA
3,"Quinsam","Upper Strait of Georgia","ECVI","SOG",7,3,3,NA
4,"Kitimat","North/Central BC","NOMN","North/Central BC",10,7,1,NA
5,"Conuma","West Coast Hatchery","WCVI","WCVI",8,4,2,NA
6,"Harrison","Fraser Late","LWFR-F","Fraser River",3,6,4,5
7,"Nanaimo_SU","Lower Strait of Georgia/Lower GS Hatchery","ECVI","SOG",7,2,3,NA
7,"NanaimoSu_BackX","Lower Strait of Georgia/Lower GS Hatchery","ECVI","SOG",7,2,3,NA
8,"Quesnel","Fraser Early","MUFR","Fraser River",2,1,4,3
9,"Nitinat","West Coast Hatchery","WCVI","WCVI",8,4,2,NA
11,"Cowichan","Lower Strait of Georgia/Lower GS Hatchery","ECVI","SOG",7,2,3,NA
15,"Bulkley_Early","North/Central BC","Skeena Bulkley","North/Central BC",21,7,1,NA
16,"Kitwanga","North/Central BC","Skeena Mid","North/Central BC",22,7,1,NA
18,"Chemainus","Lower Strait of Georgia/Lower GS Hatchery","ECVI","SOG",7,2,3,NA
20,"Bear","North/Central BC","Skeena Upper","North/Central BC",19,7,1,NA
21,"Ecstall","North/Central BC","Skeena Lower","North/Central BC",23,7,1,NA
23,"Wannock_R","North/Central BC","NOMN","North/Central BC",10,7,1,NA
24,"Kitsumkalum_R","North/Central BC","Skeena Lower","North/Central BC",23,7,1,NA
25,"Kwinageese","North/Central BC","NASS","North/Central BC",11,7,1,NA
27,"Atnarko","North/Central BC","NOMN","North/Central BC",10,7,1,NA
29,"Stuart","Fraser Early","MUFR","Fraser River",2,1,4,3
30,"Nechako","Fraser Early","MUFR","Fraser River",2,1,4,3
31,"Kennedy","West Coast Wild","WCVI","WCVI",8,5,2,NA
34,"Thornton","West Coast Hatchery","WCVI","WCVI",8,4,2,NA
37,"Dome","Fraser Early","UPFR","Fraser River",1,1,4,2
38,"Salmon@PG","Fraser Early","UPFR","Fraser River",1,1,4,2
39,"Tete_Jaune","Fraser Early","UPFR","Fraser River",1,1,4,2
40,"Chilliwack_F","Fraser Late","LWFR-F","Fraser River",3,6,4,5
42,"Nicola","Fraser Early","LWTH","Fraser River",6,1,4,1
43,"L_Shuswap","Fraser Early","SOTH","Fraser River",5,1,4,4
44,"Chilko","Fraser Early","MUFR","Fraser River",2,1,4,3
45,"Bridge","Fraser Early","MUFR","Fraser River",2,1,4,2
46,"Coldwater","Fraser Early","LWTH","Fraser River",6,1,4,1
47,"M_Shuswap","Fraser Early","SOTH","Fraser River",5,1,4,4
49,"Bowron","Fraser Early","UPFR","Fraser River",1,1,4,2
50,"Cottonwood","Fraser Early","MUFR","Fraser River",2,1,4,2
51,"Sustut","North/Central BC","Skeena Upper","North/Central BC",19,7,1,NA
53,"Damdochax","North/Central BC","NASS","North/Central BC",11,7,1,NA
54,"Exchamsiks","North/Central BC","Skeena Lower","North/Central BC",23,7,1,NA
55,"Kispiox","North/Central BC","Skeena Mid","North/Central BC",22,7,1,NA
57,"Meziadin","North/Central BC","NASS","North/Central BC",11,7,1,NA
58,"Owegee","North/Central BC","NASS","North/Central BC",11,7,1,NA
59,"Seaskinnish","North/Central BC","NASS","North/Central BC",11,7,1,NA
61,"Tseax","North/Central BC","NASS","North/Central BC",11,7,1,NA
62,"Cranberry","North/Central BC","NASS","North/Central BC",11,7,1,NA
64,"Goat","Fraser Early","UPFR","Fraser River",1,1,4,2
65,"Holmes","Fraser Early","UPFR","Fraser River",1,1,4,2
66,"Swift","Fraser Early","UPFR","Fraser River",1,1,4,2
67,"Slim_C","Fraser Early","UPFR","Fraser River",1,1,4,2
68,"Indianpoint","Fraser Early","UPFR","Fraser River",1,1,4,2
69,"Willow_R","Fraser Early","UPFR","Fraser River",1,1,4,2
70,"Raft_R","Fraser Early","NOTH","Fraser River",4,1,4,3
71,"Elkin_R","Fraser Early","MUFR","Fraser River",2,1,4,2
72,"Marble@NVI","West Coast Wild","WCVI","WCVI",8,5,2,NA
73,"U_Chilcotin","Fraser Early","MUFR","Fraser River",2,1,4,2
74,"Portage_C","Fraser Early","MUFR","Fraser River",2,1,4,3
75,"Eagle_R","Fraser Early","SOTH","Fraser River",5,1,4,2
76,"Salmon@SA","Fraser Early","SOTH","Fraser River",5,1,4,4
78,"Snowbank","North/Central BC","NASS","North/Central BC",11,7,1,NA
79,"Kincolith","North/Central BC","NASS","North/Central BC",11,7,1,NA
80,"Teigen","North/Central BC","NASS","North/Central BC",11,7,1,NA
81,"Spius","Fraser Early","LWTH","Fraser River",6,1,4,1
82,"Deadman","Fraser Early","LWTH","Fraser River",6,1,4,1
83,"Bonaparte","Fraser Early","LWTH","Fraser River",6,1,4,1
84,"L_Adams","Fraser Early","SOTH","Fraser River",5,1,4,4
85,"South_Thom","Fraser Early","SOTH","Fraser River",5,1,4,4
86,"Cedar_Early","North/Central BC","Skeena Lower","North/Central BC",23,7,1,NA
87,"Finn","Fraser Early","NOTH","Fraser River",4,1,4,2
90,"Louis","Fraser Early","LWTH","Fraser River",6,1,4,1
92,"Big_Silver","Fraser Early","LWFR-Sp","Fraser River",12,1,4,3
93,"Birkenhead","Fraser Early","LWFR-Sp","Fraser River",12,1,4,2
94,"Nimpkish","North/Central BC","ECVI","North/Central BC",7,7,1,NA
95,"Little_R","Fraser Early","SOTH","Fraser River",5,1,4,4
96,"Horsefly","Fraser Early","MUFR","Fraser River",2,1,4,2
97,"L_Qualicum","Lower Strait of Georgia/Lower GS Hatchery","ECVI","SOG",7,2,3,NA
98,"Fontoniko","Fraser Early","UPFR","Fraser River",1,1,4,2
99,"L_Cariboo","Fraser Early","MUFR","Fraser River",2,1,4,3
101,"Nanaimo_F","Lower Strait of Georgia/Lower GS Hatchery","ECVI","SOG",7,2,3,NA
102,"L_Chilcoti","Fraser Early","MUFR","Fraser River",2,1,4,2
103,"Westroad","Fraser Early","MUFR","Fraser River",2,1,4,2
104,"Endako","Fraser Early","MUFR","Fraser River",2,1,4,2
